SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
3504826,9251597,351932000,HPEG,NEW DYNASTY,8,1785643925,PA,PANAMA,18,,,,1772146800,"KAZ OPL,IRAQ",,Tanker,143,48.779209,29.606911,3.0,,0.0,,0,,,false
369411,9330020,511101102,T8A4356,SKYLIGHT,8,1772334111,PW,PALAU,64,SHARJAH,AE,103,1771743600,SHARJAH 'A' ANCH,OM,Tanker,270,56.266388,26.288021,4.0,4,0.0,,0,24386,KHASAB ANCH,false
4800090,9723124,538006822,V7RS2,HERCULES I,8,1785643799,MH,MARSHALL ISLANDS,17,MINA AL FAHL,OM,3143,1785514140,OM MFH,OM,Tanker,155,58.535252,23.666128,4.0,4,0.0,,0,3143,MINA AL FAHL,false
459196,9367748,352004533,3E6822,PVT VALENCIA,8,1785644110,PA,PANAMA,65,AL HAMRIYA,AE,26292,1785204000,AE HAM,AE,Tanker,137,55.430878,25.535669,4.0,4,4.3,2026-08-02 03:49:00,4,21985,SHARJAH ANCH,true
734424,8519966,610000074,TYAH9,BAO YU,8,1785643872,BJ,BENIN,5,SOHAR,OM,18567,1782658800,SOHAR OMAN,,Tanker,356,56.994167,25.845369,4.0,4,0.0,,0,,,false
730313,9411288,632001093,3X2068,TIBER,8,1785643641,GN,GUINEA,7,SHINAS,OM,18580,1782957600,OMSHI,,Tanker,,56.518902,24.791695,4.0,4,0.1,,0,,,false
737052,9226011,750722000,8RAB1,PHOEBEII,8,1780919514,GY,GUYANA,13,,,,1780925400,RAS KUH,,Tanker,133,57.099335,25.96727,4.0,,8.1,,0,,,false
654918,8818207,629009816,C5J918,ROVER GAS,8,1785643950,GM,GAMBIA,13,SHINAS,OM,18580,1785430800,SHINAS,,Tanker,96,56.530701,24.85235,4.0,4,0.0,,0,,,false
755525,9595228,636015484,D5BA6,INDONESIA PROSPERITY,8,1783946296,LR,LIBERIA,11,FUJAIRAH,AE,790,1783494000,AEFJR,AE,Tanker,10,56.514767,25.25148,4.0,4,0.0,,0,20585,FUJAIRAH ANCH,false
407833,9257486,341028000,V4JG4,ALMA NOVA,8,1785644085,KN,SAINT KITTS AND NEVIS,18,KHOR AL ZUBAIR,IQ,19586,1785582000,KHOR AL ZUBAIR,IQ,Tanker,307,48.916653,29.583256,3.0,3,0.0,2026-08-01 06:25:00,0,23158,AL BASRAH ANCH,false
716018,9259317,538011855,V7A3569,EDOR,8,1785644080,MH,MARSHALL ISLANDS,47,KHOR FAKKAN,AE,18560,1785186900,AEKLF,AE,Tanker,177,56.847313,25.499111,4.0,4,0.0,,0,20586,KHOR FAKKAN ANCH,false
409670,9419618,636024350,5LSE2,NISSOS HERACLEA,8,1785341303,LR,LIBERIA,12,,,,1785456060,FOR ORDERS,AE,Tanker,90,56.659328,25.257416,4.0,,9.5,,0,20585,FUJAIRAH ANCH,false
146111,9163269,620975158,D6A4009,NEREIDA,8,1785644114,KM,COMOROS,7,,,,1785622800,SHINAS ANCHOR,,Tanker,,56.54422,24.803392,4.0,,0.0,,0,,,false
713810,9441245,538004634,V7YD6,GULF LOYALTY,8,1785644151,MH,MARSHALL ISLANDS,21,,,,1784473200,FOR ORDERS,,Tanker,308,57.374695,24.943996,4.0,,1.1,,0,,,false
755421,9577109,219498000,OZCV2,TORM EVA,8,1785325683,DK,DENMARK,52,SOHAR,OM,18567,1785380400,SOHAR,,Tanker,317,59.747662,22.961321,4.0,4,14.5,,0,,,false
150857,9310367,511101203,T8A4480,ZATARA,8,1785644107,PW,PALAU,66,,,,,IRAQI OWNER IND CREW,,Tanker,293,51.66642,27.27375,3.0,,8.5,,0,,,false
686434,9376751,636026355,A8SM4,FINLAND PROSPERITY,8,1785644167,LR,LIBERIA,26,BASRAH,IQ,17202,1785164400,BASRAH,IQ,Tanker,99,48.805786,29.683443,3.0,3,0.0,,0,19795,AL BASRAH,false
118760,9588392,636026233,A8OX9,SWEDEN PROSPERITY,8,1785643972,LR,LIBERIA,22,MUSCAT,OM,18585,1785582000,OM MCT,OM,Tanker,359,58.414772,23.680494,4.0,4,0.1,2026-08-02 03:53:00,6,22797,MINA AL FAHL ANCH,true
730145,9322097,370512000,3EWM5,AVIDEEP,8,1785644090,PA,PANAMA,65,KHOR FAKKAN,AE,18560,1783134060,AEKLF,AE,Tanker,308,56.579453,25.342251,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
